,0
0,0.28504696
1,0.2852128
2,0.28537938
3,0.28554663
4,0.2857146
5,0.28588328
6,0.28605267
7,0.28622276
8,0.28639358
9,0.2865651
10,0.28673732
11,0.28691027
12,0.28708392
13,0.2872583
14,0.2874334
15,0.28760916
16,0.2877857
17,0.28796294
18,0.2881409
19,0.28831956
20,0.28849897
21,0.2886791
22,0.28885993
23,0.2890415
24,0.2892238
25,0.2894068
26,0.28959054
27,0.28977498
28,0.28996018
29,0.2901461
30,0.29033276
31,0.29052013
32,0.29070824
33,0.29089707
34,0.2910866
35,0.29127693
36,0.29146796
37,0.2916597
38,0.2918522
39,0.29204544
40,0.2922394
41,0.2924341
42,0.29262954
43,0.29282573
44,0.29302263
45,0.29322028
46,0.29341865
47,0.29361778
48,0.29381764
49,0.29401827
50,0.2942196
51,0.2944217
52,0.29462454
53,0.2948281
54,0.2950324
55,0.29523748
56,0.29544327
57,0.29564983
58,0.2958571
59,0.29606515
60,0.29627395
61,0.29648346
62,0.29669374
63,0.29690474
64,0.29711652
65,0.29732904
66,0.2975423
67,0.2977563
68,0.2979711
69,0.2981866
70,0.29840288
71,0.2986199
72,0.29883766
73,0.29905617
74,0.29927546
75,0.2994955
76,0.29971623
77,0.29993778
78,0.30016005
79,0.3003831
80,0.30060688
81,0.3008314
82,0.3010567
83,0.30128276
84,0.30150956
85,0.30173713
86,0.30196545
87,0.3021945
88,0.3024243
89,0.30265492
90,0.30288625
91,0.30311835
92,0.3033512
93,0.30358478
94,0.30381915
95,0.30405426
96,0.30429015
97,0.30452678
98,0.30476418
99,0.30500233
100,0.30524123
101,0.3054809
102,0.3057213
103,0.3059625
104,0.30620444
105,0.30644712
106,0.30669057
107,0.30693477
108,0.30717975
109,0.30742547
110,0.30767196
111,0.3079192
112,0.30816722
113,0.30841595
114,0.30866548
115,0.30891576
116,0.3091668
117,0.3094186
118,0.30967113
119,0.30992445
120,0.31017852
121,0.31043333
122,0.3106889
123,0.31094524
124,0.31120235
125,0.3114602
126,0.31171882
127,0.3119782
128,0.3122383
129,0.3124992
130,0.31276083
131,0.3130232
132,0.31328636
133,0.3135503
134,0.31381494
135,0.31408036
136,0.31434655
137,0.31461346
138,0.31488115
139,0.31514958
140,0.31541878
141,0.31568873
142,0.31595942
143,0.31623086
144,0.31650308
145,0.31677604
146,0.31704974
147,0.31732422
148,0.31759945
149,0.31787542
150,0.31815213
151,0.3184296
152,0.31870782
153,0.31898677
154,0.3192665
155,0.31954697
156,0.3198282
157,0.32011017
158,0.32039288
159,0.32067633
160,0.32096055
161,0.3212455
162,0.3215312
163,0.32181767
164,0.32210484
165,0.3223928
166,0.32268146
167,0.3229709
168,0.32326105
169,0.32355198
170,0.32384363
171,0.32413602
172,0.32442915
173,0.324723
