,0,1
0,tensor(-0.1359),tensor(1.0810)
1,tensor(-0.1345),tensor(1.0766)
2,tensor(-0.1331),tensor(1.0722)
3,tensor(-0.1317),tensor(1.0678)
4,tensor(-0.1303),tensor(1.0634)
5,tensor(-0.1289),tensor(1.0590)
6,tensor(-0.1275),tensor(1.0546)
7,tensor(-0.1261),tensor(1.0502)
8,tensor(-0.1246),tensor(1.0459)
9,tensor(-0.1232),tensor(1.0415)
10,tensor(-0.1218),tensor(1.0371)
11,tensor(-0.1204),tensor(1.0327)
12,tensor(-0.1190),tensor(1.0283)
13,tensor(-0.1176),tensor(1.0239)
14,tensor(-0.1161),tensor(1.0196)
15,tensor(-0.1147),tensor(1.0152)
16,tensor(-0.1133),tensor(1.0108)
17,tensor(-0.1119),tensor(1.0065)
18,tensor(-0.1105),tensor(1.0021)
19,tensor(-0.1091),tensor(0.9978)
20,tensor(-0.1076),tensor(0.9934)
21,tensor(-0.1062),tensor(0.9891)
22,tensor(-0.1048),tensor(0.9848)
23,tensor(-0.1034),tensor(0.9804)
24,tensor(-0.1020),tensor(0.9761)
25,tensor(-0.1006),tensor(0.9718)
26,tensor(-0.0992),tensor(0.9675)
27,tensor(-0.0978),tensor(0.9632)
28,tensor(-0.0963),tensor(0.9589)
29,tensor(-0.0949),tensor(0.9546)
30,tensor(-0.0935),tensor(0.9503)
31,tensor(-0.0921),tensor(0.9461)
32,tensor(-0.0907),tensor(0.9418)
33,tensor(-0.0893),tensor(0.9376)
34,tensor(-0.0879),tensor(0.9333)
35,tensor(-0.0865),tensor(0.9291)
36,tensor(-0.0851),tensor(0.9248)
37,tensor(-0.0837),tensor(0.9206)
38,tensor(-0.0823),tensor(0.9164)
39,tensor(-0.0809),tensor(0.9122)
40,tensor(-0.0795),tensor(0.9080)
41,tensor(-0.0781),tensor(0.9038)
42,tensor(-0.0767),tensor(0.8997)
43,tensor(-0.0754),tensor(0.8955)
44,tensor(-0.0740),tensor(0.8913)
45,tensor(-0.0726),tensor(0.8872)
46,tensor(-0.0712),tensor(0.8831)
47,tensor(-0.0698),tensor(0.8790)
48,tensor(-0.0685),tensor(0.8749)
49,tensor(-0.0671),tensor(0.8708)
50,tensor(-0.0657),tensor(0.8667)
51,tensor(-0.0644),tensor(0.8626)
52,tensor(-0.0630),tensor(0.8586)
