,0,1
145,tensor(-1.6773),tensor(6.4773)
146,tensor(-1.6675),tensor(6.4894)
147,tensor(-1.6577),tensor(6.5015)
148,tensor(-1.6479),tensor(6.5136)
149,tensor(-1.6381),tensor(6.5257)
150,tensor(-1.6283),tensor(6.5378)
151,tensor(-1.6184),tensor(6.5498)
152,tensor(-1.6086),tensor(6.5619)
153,tensor(-1.5987),tensor(6.5740)
154,tensor(-1.5889),tensor(6.5861)
155,tensor(-1.5790),tensor(6.5982)
156,tensor(-1.5691),tensor(6.6103)
157,tensor(-1.5592),tensor(6.6225)
158,tensor(-1.5493),tensor(6.6346)
159,tensor(-1.5394),tensor(6.6467)
160,tensor(-1.5295),tensor(6.6588)
161,tensor(-1.5196),tensor(6.6709)
162,tensor(-1.5096),tensor(6.6830)
163,tensor(-1.4997),tensor(6.6951)
164,tensor(-1.4897),tensor(6.7073)
165,tensor(-1.4797),tensor(6.7194)
166,tensor(-1.4698),tensor(6.7315)
167,tensor(-1.4598),tensor(6.7436)
168,tensor(-1.4498),tensor(6.7558)
169,tensor(-1.4398),tensor(6.7679)
170,tensor(-1.4298),tensor(6.7800)
171,tensor(-1.4197),tensor(6.7922)
172,tensor(-1.4097),tensor(6.8043)
173,tensor(-1.3997),tensor(6.8164)
174,tensor(-1.3896),tensor(6.8286)
175,tensor(-1.3795),tensor(6.8407)
176,tensor(-1.3695),tensor(6.8529)
177,tensor(-1.3594),tensor(6.8650)
178,tensor(-1.3493),tensor(6.8771)
179,tensor(-1.3392),tensor(6.8893)
180,tensor(-1.3291),tensor(6.9014)
181,tensor(-1.3190),tensor(6.9136)
182,tensor(-1.3089),tensor(6.9257)
183,tensor(-1.2987),tensor(6.9379)
184,tensor(-1.2886),tensor(6.9500)
185,tensor(-1.2785),tensor(6.9622)
186,tensor(-1.2683),tensor(6.9743)
187,tensor(-1.2582),tensor(6.9865)
188,tensor(-1.2480),tensor(6.9986)
189,tensor(-1.2378),tensor(7.0108)
190,tensor(-1.2276),tensor(7.0229)
191,tensor(-1.2174),tensor(7.0351)
192,tensor(-1.2072),tensor(7.0473)
193,tensor(-1.1970),tensor(7.0594)
194,tensor(-1.1868),tensor(7.0716)
195,tensor(-1.1766),tensor(7.0837)
196,tensor(-1.1663),tensor(7.0959)
197,tensor(-1.1561),tensor(7.1080)
198,tensor(-1.1458),tensor(7.1202)
199,tensor(-1.1356),tensor(7.1324)
200,tensor(-1.1253),tensor(7.1445)
201,tensor(-1.1150),tensor(7.1567)
202,tensor(-1.1048),tensor(7.1688)
203,tensor(-1.0945),tensor(7.1810)
204,tensor(-1.0842),tensor(7.1932)
205,tensor(-1.0739),tensor(7.2053)
206,tensor(-1.0636),tensor(7.2175)
207,tensor(-1.0533),tensor(7.2296)
208,tensor(-1.0429),tensor(7.2418)
209,tensor(-1.0326),tensor(7.2540)
210,tensor(-1.0223),tensor(7.2661)
211,tensor(-1.0119),tensor(7.2783)
212,tensor(-1.0016),tensor(7.2904)
213,tensor(-0.9912),tensor(7.3026)
214,tensor(-0.9809),tensor(7.3148)
215,tensor(-0.9705),tensor(7.3269)
216,tensor(-0.9601),tensor(7.3391)
217,tensor(-0.9497),tensor(7.3512)
218,tensor(-0.9393),tensor(7.3634)
219,tensor(-0.9289),tensor(7.3755)
220,tensor(-0.9185),tensor(7.3877)
221,tensor(-0.9081),tensor(7.3999)
222,tensor(-0.8977),tensor(7.4120)
223,tensor(-0.8873),tensor(7.4242)
224,tensor(-0.8768),tensor(7.4363)
225,tensor(-0.8664),tensor(7.4485)
226,tensor(-0.8559),tensor(7.4606)
227,tensor(-0.8455),tensor(7.4728)
228,tensor(-0.8350),tensor(7.4849)
229,tensor(-0.8246),tensor(7.4971)
230,tensor(-0.8141),tensor(7.5092)
231,tensor(-0.8036),tensor(7.5214)
232,tensor(-0.7931),tensor(7.5335)
233,tensor(-0.7826),tensor(7.5457)
234,tensor(-0.7721),tensor(7.5578)
235,tensor(-0.7616),tensor(7.5700)
