Timestamp,Country,Num_Flights,Num_Covid_Cases
4/2/2021,"Moldova, Republic of",4,
4/2/2021,Mongolia,1,757
4/2/2021,Morocco,34,581
4/2/2021,Netherlands,283,7647
4/2/2021,New Caledonia,1,
4/2/2021,New Zealand,432,0
4/2/2021,Oman,3,0
4/2/2021,Pakistan,43,4723
4/2/2021,Panama,69,351
4/2/2021,Peru,15,6622
4/2/2021,Philippines,22,15298
4/2/2021,Poland,103,30541
4/2/2021,Portugal,130,548
4/2/2021,Qatar,403,874
4/2/2021,Romania,65,5808
4/2/2021,Russian Federation,933,8682
4/2/2021,Saudi Arabia,75,728
4/2/2021,Serbia,10,4826
4/2/2021,Seychelles,1,41
4/2/2021,Singapore,128,43
4/2/2021,South Africa,59,1273
4/2/2021,Spain,289,0
4/2/2021,Sri Lanka,21,211
4/2/2021,Sweden,106,0
4/2/2021,Switzerland,111,2250
4/2/2021,"Tanzania, United Republic of",3,
4/2/2021,Thailand,55,58
4/2/2021,Tunisia,23,1623
4/2/2021,Turkey,1319,42308
4/2/2021,Ukraine,53,20003
4/2/2021,United Arab Emirates,449,2180
4/2/2021,United Kingdom,160,3422
4/2/2021,United States,8425,73001
4/2/2021,Uzbekistan,25,189
4/2/2021,Vanuatu,1,0
4/2/2021,Vietnam,216,3
4/2/2021,Yemen,1,89
4/3/2021,Algeria,41,95
4/3/2021,Antigua and Barbuda,2,18
4/3/2021,Argentina,28,10384
4/3/2021,Australia,146,7
4/3/2021,Austria,56,3283
4/3/2021,Azerbaijan,3,1852
4/3/2021,Bahrain,59,1316
4/3/2021,Bangladesh,37,5683
4/3/2021,Belarus,62,1371
4/3/2021,Belgium,68,4889
4/3/2021,Bolivia,1,520
4/3/2021,Brazil,214,39355
4/3/2021,Bulgaria,9,1919
4/3/2021,Canada,156,5870
4/3/2021,Chile,25,7993
4/3/2021,China (People's Republic of),2242,22
4/3/2021,Chinese Taipei,241,6
4/3/2021,Colombia,119,9149
4/3/2021,Costa Rica,2,0
4/3/2021,Croatia,21,2234
4/3/2021,Czech Republic,2,3869
4/3/2021,Ecuador,1,1137
4/3/2021,Egypt,65,710
4/3/2021,El Salvador,10,150
4/3/2021,Ethiopia,56,1997
4/3/2021,Fiji,2,0
4/3/2021,Finland,53,361
4/3/2021,France,314,166
4/3/2021,French Polynesia,4,
4/3/2021,Georgia,1,580
4/3/2021,Germany,659,3673
4/3/2021,Greece,52,3229
4/3/2021,"Hong Kong SAR, China",85,
4/3/2021,Iceland,2,20
