Timestamp,Country,Num_Flights,Num_Covid_Cases
2020-01-24,Germany,940,0.0
2020-01-24,Greece,39,0.0
2020-01-24,"Hong Kong SAR, China",115,
2020-01-24,Iceland,27,0.0
2020-01-24,India,18,0.0
2020-01-24,Indonesia,1,0.0
2020-01-24,"Iran, Islamic Republic of",1,
2020-01-24,Ireland,63,0.0
2020-01-24,Israel,30,0.0
2020-01-24,Italy,197,0.0
2020-01-24,Japan,186,0.0
2020-01-24,Kazakhstan,11,0.0
2020-01-24,Kenya,2,0.0
2020-01-24,Korea,59,1.0
2020-01-24,Latvia,51,0.0
2020-01-24,Lebanon,8,0.0
2020-01-24,Luxembourg,21,0.0
2020-01-24,"Macao SAR, China",1,
2020-01-24,Malaysia,90,0.0
2020-01-24,Malta,23,0.0
2020-01-24,Mauritius,1,0.0
2020-01-24,Mexico,6,0.0
2020-01-24,Morocco,18,0.0
2020-01-24,Netherlands,209,0.0
2020-01-24,New Zealand,76,0.0
2020-01-24,Panama,5,0.0
2020-01-24,Peru,8,0.0
2020-01-24,Philippines,36,0.0
2020-01-24,Poland,78,0.0
2020-01-24,Portugal,88,0.0
2020-01-24,Qatar,110,0.0
2020-01-24,Romania,10,0.0
2020-01-24,Russian Federation,284,0.0
2020-01-24,Saudi Arabia,9,0.0
2020-01-24,Singapore,170,2.0
2020-01-24,South Africa,9,0.0
2020-01-24,Spain,110,0.0
2020-01-24,Sri Lanka,17,0.0
2020-01-24,Sweden,88,0.0
2020-01-24,Switzerland,160,0.0
2020-01-24,Thailand,63,1.0
2020-01-24,Turkey,68,0.0
2020-01-24,Ukraine,16,0.0
2020-01-24,United Arab Emirates,216,0.0
2020-01-24,United Kingdom,427,0.0
2020-01-24,United States,3373,1.0
2020-01-24,Vietnam,3,0.0
2020-01-25,Algeria,34,0.0
2020-01-25,Antigua and Barbuda,7,0.0
2020-01-25,Argentina,25,0.0
2020-01-25,Australia,190,0.0
2020-01-25,Austria,79,0.0
2020-01-25,Bahrain,7,0.0
2020-01-25,Belarus,30,0.0
2020-01-25,Belgium,36,0.0
2020-01-25,Bolivia,4,0.0
2020-01-25,Brazil,103,0.0
2020-01-25,Brunei Darussalam,12,
2020-01-25,Canada,255,0.0
2020-01-25,Chile,5,0.0
2020-01-25,China (People's Republic of),22,486.0
2020-01-25,Chinese Taipei,44,0.0
2020-01-25,Colombia,10,0.0
2020-01-25,Croatia,18,0.0
2020-01-25,Czech Republic,14,0.0
2020-01-25,Ecuador,1,0.0
2020-01-25,Egypt,2,0.0
2020-01-25,El Salvador,2,0.0
2020-01-25,Ethiopia,3,0.0
2020-01-25,Fiji,3,0.0
2020-01-25,France,348,1.0
2020-01-25,French Polynesia,3,
2020-01-25,Germany,655,0.0
2020-01-25,Greece,28,0.0
2020-01-25,"Hong Kong SAR, China",124,
2020-01-25,Iceland,25,0.0
2020-01-25,India,24,0.0
2020-01-25,Ireland,43,0.0
2020-01-25,Israel,2,0.0
2020-01-25,Italy,152,0.0
2020-01-25,Jamaica,1,0.0
2020-01-25,Japan,190,0.0
2020-01-25,Jordan,1,0.0
2020-01-25,Kazakhstan,10,0.0
2020-01-25,Kenya,4,0.0
2020-01-25,Korea,62,0.0
2020-01-25,Kuwait,3,0.0
2020-01-25,Latvia,29,0.0
2020-01-25,Lebanon,11,0.0
2020-01-25,Luxembourg,5,0.0
2020-01-25,Malaysia,88,4.0
2020-01-25,Malta,17,0.0
2020-01-25,Mexico,6,0.0
2020-01-25,Morocco,14,0.0
2020-01-25,Netherlands,153,0.0
2020-01-25,New Zealand,66,0.0
2020-01-25,Panama,13,0.0
2020-01-25,Peru,10,0.0
2020-01-25,Philippines,28,0.0
2020-01-25,Poland,62,0.0
2020-01-25,Portugal,91,0.0
2020-01-25,Qatar,104,0.0
2020-01-25,Romania,2,0.0
2020-01-25,Russian Federation,268,0.0
2020-01-25,Saudi Arabia,9,0.0
2020-01-25,Singapore,177,0.0
2020-01-25,South Africa,13,0.0
2020-01-25,Spain,97,0.0
2020-01-25,Sri Lanka,16,0.0
2020-01-25,Sweden,31,0.0
2020-01-25,Switzerland,135,0.0
2020-01-25,Thailand,54,1.0
2020-01-25,Turkey,42,0.0
2020-01-25,Ukraine,19,0.0
2020-01-25,United Arab Emirates,220,0.0
2020-01-25,United Kingdom,378,0.0
2020-01-25,United States,2912,0.0
2020-01-25,Uzbekistan,1,0.0
2020-01-25,Vietnam,2,0.0
2020-01-26,Algeria,32,0.0
2020-01-26,Antigua and Barbuda,9,0.0
2020-01-26,Argentina,15,0.0
2020-01-26,Australia,200,4.0
2020-01-26,Austria,118,0.0
2020-01-26,Bahrain,8,0.0
2020-01-26,Belarus,37,0.0
2020-01-26,Belgium,55,0.0
2020-01-26,Bolivia,6,0.0
2020-01-26,Brazil,92,0.0
2020-01-26,Brunei Darussalam,11,
2020-01-26,Canada,210,1.0
2020-01-26,Cape Verde,1,
2020-01-26,Chile,2,0.0
2020-01-26,China (People's Republic of),10,669.0
2020-01-26,Chinese Taipei,40,1.0
2020-01-26,Colombia,11,0.0
2020-01-26,Croatia,20,0.0
2020-01-26,Czech Republic,8,0.0
2020-01-26,Egypt,1,0.0
2020-01-26,El Salvador,2,0.0
2020-01-26,Ethiopia,4,0.0
2020-01-26,Finland,3,0.0
2020-01-26,France,353,0.0
2020-01-26,French Polynesia,2,
2020-01-26,Germany,688,0.0
2020-01-26,Greece,39,0.0
2020-01-26,"Hong Kong SAR, China",78,
2020-01-26,Iceland,26,0.0
2020-01-26,India,18,0.0
2020-01-26,Indonesia,3,0.0
2020-01-26,Ireland,62,0.0
2020-01-26,Israel,43,0.0
2020-01-26,Italy,154,0.0
2020-01-26,Japan,166,2.0
2020-01-26,Kazakhstan,3,0.0
2020-01-26,Kenya,1,0.0
2020-01-26,Korea,29,1.0
2020-01-26,Latvia,37,0.0
2020-01-26,Lebanon,16,0.0
2020-01-26,Luxembourg,18,0.0
2020-01-26,Malaysia,81,0.0
2020-01-26,Malta,19,0.0
2020-01-26,Mexico,2,0.0
2020-01-26,Mongolia,1,0.0
2020-01-26,Morocco,13,0.0
2020-01-26,Netherlands,163,0.0
2020-01-26,New Zealand,70,0.0
2020-01-26,Norway,1,0.0
2020-01-26,Pakistan,2,0.0
2020-01-26,Panama,7,0.0
2020-01-26,Peru,7,0.0
2020-01-26,Philippines,23,0.0
2020-01-26,Poland,51,0.0
2020-01-26,Portugal,77,0.0
2020-01-26,Qatar,76,0.0
2020-01-26,Romania,3,0.0
2020-01-26,Russian Federation,215,0.0
2020-01-26,Saudi Arabia,10,0.0
2020-01-26,Singapore,129,1.0
2020-01-26,South Africa,7,0.0
2020-01-26,Spain,75,0.0
2020-01-26,Sri Lanka,12,0.0
2020-01-26,Sweden,62,0.0
2020-01-26,Switzerland,126,0.0
2020-01-26,Thailand,45,2.0
2020-01-26,Turkey,42,0.0
2020-01-26,Ukraine,17,0.0
2020-01-26,United Arab Emirates,145,0.0
2020-01-26,United Kingdom,351,0.0
2020-01-26,United States,2287,3.0
2020-01-26,Vietnam,1,0.0
2020-01-27,Algeria,29,0.0
2020-01-27,Antigua and Barbuda,4,0.0
2020-01-27,Argentina,28,0.0
2020-01-27,Australia,270,1.0
2020-01-27,Austria,137,0.0
2020-01-27,Bahrain,7,0.0
2020-01-27,Belarus,49,0.0
2020-01-27,Belgium,77,0.0
2020-01-27,Bolivia,5,0.0
2020-01-27,Brazil,145,0.0
2020-01-27,Brunei Darussalam,18,
2020-01-27,Canada,261,0.0
2020-01-27,Chile,5,0.0
2020-01-27,China (People's Republic of),25,802.0
2020-01-27,Chinese Taipei,45,1.0
2020-01-27,Colombia,16,0.0
2020-01-27,Croatia,20,0.0
2020-01-27,Czech Republic,21,0.0
2020-01-27,Ecuador,1,0.0
2020-01-27,Egypt,1,0.0
2020-01-27,El Salvador,5,0.0
2020-01-27,Ethiopia,3,0.0
2020-01-27,Fiji,3,0.0
2020-01-27,Finland,6,0.0
2020-01-27,France,419,0.0
2020-01-27,French Polynesia,3,
2020-01-27,Germany,979,1.0
2020-01-27,Greece,51,0.0
2020-01-27,"Hong Kong SAR, China",120,
2020-01-27,Iceland,22,0.0
2020-01-27,India,24,0.0
2020-01-27,Indonesia,1,0.0
2020-01-27,Ireland,55,0.0
2020-01-27,Israel,21,0.0
2020-01-27,Italy,193,0.0
2020-01-27,Japan,183,0.0
2020-01-27,Jordan,1,0.0
2020-01-27,Kazakhstan,14,0.0
2020-01-27,Kenya,2,0.0
2020-01-27,Korea,55,1.0
2020-01-27,Kuwait,2,0.0
2020-01-27,Latvia,48,0.0
2020-01-27,Lebanon,20,0.0
2020-01-27,Luxembourg,22,0.0
2020-01-27,Malaysia,101,0.0
2020-01-27,Malta,19,0.0
2020-01-27,Mauritius,1,0.0
2020-01-27,Mexico,13,0.0
2020-01-27,Morocco,7,0.0
2020-01-27,Netherlands,229,0.0
2020-01-27,New Zealand,88,0.0
2020-01-27,Panama,11,0.0
2020-01-27,Peru,10,0.0
2020-01-27,Philippines,32,0.0
2020-01-27,Poland,70,0.0
2020-01-27,Portugal,81,0.0
2020-01-27,Qatar,99,0.0
2020-01-27,Romania,2,0.0
2020-01-27,Russian Federation,262,0.0
2020-01-27,Saudi Arabia,10,0.0
2020-01-27,Singapore,171,1.0
2020-01-27,South Africa,16,0.0
2020-01-27,Spain,84,0.0
2020-01-27,Sri Lanka,16,1.0
2020-01-27,Sweden,101,0.0
2020-01-27,Switzerland,149,0.0
2020-01-27,Thailand,60,0.0
2020-01-27,Tunisia,2,0.0
2020-01-27,Turkey,45,0.0
2020-01-27,Ukraine,13,0.0
2020-01-27,United Arab Emirates,198,0.0
2020-01-27,United Kingdom,404,0.0
2020-01-27,United States,3261,0.0
2020-01-27,Vietnam,1,0.0
2020-01-28,Algeria,32,0.0
2020-01-28,Antigua and Barbuda,6,0.0
2020-01-28,Argentina,23,0.0
2020-01-28,Australia,284,0.0
2020-01-28,Austria,106,0.0
2020-01-28,Bahrain,7,0.0
2020-01-28,Belarus,45,0.0
2020-01-28,Belgium,71,0.0
2020-01-28,Bolivia,4,0.0
2020-01-28,Brazil,133,0.0
2020-01-28,Brunei Darussalam,13,
2020-01-28,Canada,259,1.0
2020-01-28,Cape Verde,1,
2020-01-28,Chile,4,0.0
2020-01-28,China (People's Republic of),38,2632.0
2020-01-28,Chinese Taipei,65,3.0
2020-01-28,Colombia,11,0.0
2020-01-28,Croatia,21,0.0
2020-01-28,Czech Republic,13,0.0
2020-01-28,Ecuador,1,0.0
2020-01-28,Egypt,4,0.0
2020-01-28,El Salvador,3,0.0
2020-01-28,Ethiopia,5,0.0
2020-01-28,Fiji,3,0.0
2020-01-28,Finland,6,0.0
2020-01-28,France,443,1.0
2020-01-28,French Polynesia,1,
2020-01-28,Germany,1021,3.0
2020-01-28,Greece,32,0.0
2020-01-28,"Hong Kong SAR, China",195,
2020-01-28,Iceland,22,0.0
2020-01-28,India,25,0.0
2020-01-28,Ireland,50,0.0
2020-01-28,Israel,17,0.0
2020-01-28,Italy,207,0.0
2020-01-28,Japan,235,3.0
2020-01-28,Kazakhstan,8,0.0
2020-01-28,Kenya,2,0.0
2020-01-28,Korea,69,0.0
2020-01-28,Kuwait,1,0.0
2020-01-28,Latvia,43,0.0
2020-01-28,Lebanon,14,0.0
2020-01-28,Luxembourg,34,0.0
2020-01-28,Malaysia,97,0.0
2020-01-28,Malta,10,0.0
2020-01-28,Mauritius,1,0.0
2020-01-28,Mexico,4,0.0
2020-01-28,Morocco,9,0.0
2020-01-28,Netherlands,247,0.0
2020-01-28,New Zealand,82,0.0
2020-01-28,Panama,9,0.0
2020-01-28,Peru,9,0.0
2020-01-28,Philippines,32,0.0
2020-01-28,Poland,71,0.0
2020-01-28,Portugal,74,0.0
2020-01-28,Qatar,107,0.0
2020-01-28,Romania,2,0.0
2020-01-28,Russian Federation,266,0.0
2020-01-28,Saudi Arabia,6,0.0
2020-01-28,Singapore,164,2.0
2020-01-28,South Africa,16,0.0
2020-01-28,Spain,84,0.0
2020-01-28,Sri Lanka,16,0.0
2020-01-28,Sweden,148,0.0
2020-01-28,Switzerland,166,0.0
2020-01-28,Thailand,58,6.0
2020-01-28,Turkey,56,0.0
2020-01-28,Ukraine,20,0.0
2020-01-28,United Arab Emirates,212,0.0
2020-01-28,United Kingdom,372,0.0
2020-01-28,United States,3708,0.0
2020-01-28,Uzbekistan,2,0.0
2020-01-28,Vietnam,3,0.0
2020-01-29,Algeria,36,0.0
2020-01-29,Antigua and Barbuda,10,0.0
2020-01-29,Argentina,27,0.0
2020-01-29,Australia,274,1.0
2020-01-29,Austria,131,0.0
2020-01-29,Azerbaijan,1,0.0
2020-01-29,Bahrain,7,0.0
2020-01-29,Belarus,56,0.0
2020-01-29,Belgium,80,0.0
2020-01-29,Bolivia,4,0.0
2020-01-29,Brazil,134,0.0
2020-01-29,Brunei Darussalam,15,
2020-01-29,Canada,247,0.0
2020-01-29,Chile,5,0.0
2020-01-29,China (People's Republic of),25,578.0
2020-01-29,Chinese Taipei,68,0.0
2020-01-29,Colombia,18,0.0
2020-01-29,Croatia,18,0.0
2020-01-29,Cuba,1,0.0
2020-01-29,Czech Republic,12,0.0
2020-01-29,Ecuador,1,0.0
2020-01-29,Egypt,1,0.0
2020-01-29,El Salvador,2,0.0
2020-01-29,Ethiopia,3,0.0
2020-01-29,Fiji,2,0.0
2020-01-29,France,454,1.0
2020-01-29,French Polynesia,3,
2020-01-29,Germany,1056,0.0
2020-01-29,Greece,34,0.0
2020-01-29,"Hong Kong SAR, China",207,
2020-01-29,Iceland,22,0.0
2020-01-29,India,27,0.0
2020-01-29,Indonesia,3,0.0
2020-01-29,Ireland,53,0.0
2020-01-29,Israel,21,0.0
2020-01-29,Italy,192,0.0
2020-01-29,Japan,223,0.0
2020-01-29,Jordan,1,0.0
2020-01-29,Kazakhstan,7,0.0
2020-01-29,Kenya,4,0.0
2020-01-29,Korea,70,0.0
2020-01-29,Kuwait,1,0.0
2020-01-29,Latvia,44,0.0
2020-01-29,Lebanon,20,0.0
2020-01-29,Luxembourg,34,0.0
2020-01-29,"Macao SAR, China",1,
2020-01-29,Malaysia,98,3.0
